,name,img,description
120,Chill Atk 2,https://img.game8.co/3407752/49182984e8b7dee1dc1634ad67ed37b1.png/show,"At the start of each turn, inflicts Atk -5 on foe on the enemy team with the highest Atk through its next action."
121,Chill Atk 3,https://img.game8.co/3407747/443ca3793dc877725402bb39879b49bd.png/show,"At the start of each turn, inflicts Atk -7 on foe on the enemy team with the highest Atk through its next action."
122,Chill Spd 1,https://img.game8.co/3407756/4cb1cffaa013ede0a5250bd2ce674e95.png/show,"At the start of each turn, inflicts Spd -3 on foe on the enemy team with the highest Spd through its next action."
123,Chill Spd 2,https://img.game8.co/3407754/4b834ff0fd44e408dd15498b92600123.png/show,"At the start of each turn, inflicts Spd -5 on foe on the enemy team with the highest Spd through its next action."
124,Chill Spd 3,https://img.game8.co/3407755/fc055e7b79e220602dacb52bb4085f52.png/show,"At the start of each turn, inflicts Spd -7 on foe on the enemy team with the highest Spd through its next action."
125,Chill Def 1,https://img.game8.co/3407748/c1eb92d480bb269fec5211c9f49fd7fa.png/show,"At the start of each turn, inflicts Def -3 on foe on the enemy team with the highest Def through its next action."
126,Chill Def 2,https://img.game8.co/3407750/24eb23fe77a9664b5f37da267861e6d5.png/show,"At the start of each turn, inflicts Def -5 on foe on the enemy team with the highest Def through its next action."
127,Chill Def 3,https://img.game8.co/3407751/34c8b38271a8e58aabf9fa6ecb2c5869.png/show,"At the start of each turn, inflicts Def -7 on foe on the enemy team with the highest Def through its next action."
128,Chill Res 1,https://img.game8.co/3407757/4ff038c533dbf534eb40e26e369b4a58.png/show,"At the start of each turn, inflicts Res -3 on foe on the enemy team with the highest Res through its next action."
129,Chill Res 2,https://img.game8.co/3407753/715649a226d49b34b085e8ba261e9df5.png/show,"At the start of each turn, inflicts Res -5 on foe on the enemy team with the highest Res through its next action."
130,Chill Res 3,https://img.game8.co/3407749/7f66c97dce8ffb6a36e65471b9858b23.png/show,"At the start of each turn, inflicts Res -7 on foe on the enemy team with the highest Res through its next action."
131,Chill Atk/Spd 1,https://img.game8.co/3407238/aa5144e51e7ceb6ae23abc52ad0abae5.png/show,"At start of turn, inflicts Atk/Spd-3 on foe on the enemy team with the highest Atk+Spd total through its next action."
132,Chill Atk/Spd 2,https://img.game8.co/3407230/d337d7e263a65881af458ffb84e4294c.png/show,"At start of turn, inflicts Atk/Spd -5 on foe on the enemy team with the highest Atk+Spd total through its next action."
133,Chill Atk/Res 1,https://img.game8.co/3408020/fa8d83fe3852adbe5c960e0d963c2ec8.png/show,"At start of turn, inflicts Atk/Res-3 on foe on the enemy team with the highest Atk+Res total through its next action."
134,Chill Atk/Res 2,https://img.game8.co/3408018/590c20613db1a08a02ed0474c7543817.png/show,"At start of turn, inflicts Atk/Res -5 on foe on the enemy team with the highest Atk+Res total through its next action."
135,Chill Spd/Def 1,https://img.game8.co/3407234/c6c2da2d9b591e63ce17ba49065639f0.png/show,"At start of turn, inflicts Spd/Def -3 on foe on the enemy team with the highest Spd+Def total through its next action."
136,Chill Spd/Def 2,https://img.game8.co/3407227/7c731dbe88170de2a515d464f9c61ca9.png/show,"At start of turn, inflicts Spd/Def -5 on foe on the enemy team with the highest Spd+Def total through its next action."
137,Chill Spd/Res 2,https://img.game8.co/3407576/b91f48a8695598d069693ca7435c33ef.png/show,"At start of turn, inflicts Spd/Res-5 on foe on the enemy team with the highest Spd+Res total through its next action."
138,Chill Spd/Res 1,https://img.game8.co/3407575/b589ba75699fa2ad4f63912180b8989f.png/show,"At start of turn, inflicts Spd/Res-3 on foe on the enemy team with the highest Spd+Res total through its next action."
139,Chill Atk/Def 1,https://img.game8.co/3407239/d25dcd63de9cb1ce940a08848bf19a36.png/show,"At start of turn, inflicts Atk/Def-3 on foe on the enemy team with the highest Atk+Def total through its next action."
140,Chill Atk/Def 2,https://img.game8.co/3407236/1e08677aa2ceae5b654b27b97c72e5b9.png/show,"At start of turn, inflicts Atk/Def-5 on foe on the enemy team with the highest Atk+Def total through its next action."
141,Chill Def/Res 1,https://img.game8.co/3407237/8478a55055bf58c876e8d1f1c1197b47.png/show,"At start of turn, inflicts Def/Res- on foe on the enemy team with the highest Def+Res total through its next action."
142,Chill Def/Res 2,https://img.game8.co/3407233/3641110a07c4cc95ca9b50520f3c3501.png/show,"At start of turn, inflicts Def/Res-5 on foe on the enemy team with the highest Def+Res total through its next action."
143,Odd Pulse Tie 1,https://img.game8.co/3407519/820c7f84c5ebf07ed740b28dee8a516f.png/show,"At start of odd-numbered turns, if any foe's HP +5 \xe2\x89\xa4 unit's HP and that foe's Special is ready, inflicts Special cooldown count +2 on foe with the lowest HP among those foes. (Cannot exceed the foe's maximum Special cooldown)."
144,Odd Pulse Tie 2,https://img.game8.co/3407518/783cca22f0506bde90b45c38a58d8fdb.png/show,"At start of odd-numbered turns, if any foe's HP +3 \xe2\x89\xa4 unit's HP and that foe's Special is ready, inflicts Special cooldown count +2 on foe with the lowest HP among those foes. (Cannot exceed the foe's maximum Special cooldown)."
145,Odd Pulse Tie 3,https://img.game8.co/3407504/56256cc013c30331c3e5d46e971e193f.png/show,"At start of odd-numbered turns, if any foe's HP +1 \xe2\x89\xa4 unit's HP and that foe's Special is ready, inflicts Special cooldown count +2 on foe with the lowest HP among those foes. (Cannot exceed the foe's maximum Special cooldown)."
146,Even Pulse Tie 1,https://img.game8.co/3407915/010aaace2655bbec81266f950c6398f4.png/show,"At start of even-number turns, if foe with the lowest HP has its Special ready and unit's HP \xe2\x89\xa5 that foe's HP+5, inflicts Special cooldown count+2 on that foe. (Cannot exceed the foe's maximum Special cooldown.)"
147,Even Pulse Tie 2,https://img.game8.co/3407916/d48028c2fd93687c76baf1ddf4cabd10.png/show,"At start of even-number turns, if foe with the lowest HP has its Special ready and unit's HP \xe2\x89\xa5 that foe's HP+3, inflicts Special cooldown count+2 on that foe. (Cannot exceed the foe's maximum Special cooldown.)"
148,Even Pulse Tie 3,https://img.game8.co/3427843/5a20d009aa612cd934f5ace42b7f400f.png/show,"At start of even-number turns, if foe with the lowest HP has its Special ready and unit's HP \xe2\x89\xa5 that foe's HP +1, inflicts Special cooldown count +2 on that foe. (Cannot exceed the foe's maximum Special cooldown)."
149,Sabotage Spd 1,https://img.game8.co/3407499/10bf4d4a523755caef517e27aadcb892.png/show,"At start of turn, if any foe's Res \xe2\x89\xa4 unit\xe2\x80\x99s Res-3 and that foe is adjacent to another foe, inflicts Spd-3 on that foe through its next action."
150,Sabotage Spd 2,https://img.game8.co/3407486/45eb853b9684101d0c1babdf097f38eb.png/show,"At start of turn, if any foe's Res \xe2\x89\xa4 unit\xe2\x80\x99s Res-3 and that foe is adjacent to another foe, inflicts Spd-5 on that foe through its next action."
151,Sabotage Spd 3,https://img.game8.co/3407502/dbe13709e653812378ee9ffdfcd42c77.png/show,"At start of turn, if any foe's Res \xe2\x89\xa4 unit\xe2\x80\x99s Res-3 and that foe is adjacent to another foe, inflicts Spd-7 on that foe through its next action."
152,Atk/Res Ruse 1,https://img.game8.co/3407537/1d3da47b1eb29458d7b6553b930d23d4.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Res-1 and \xe3\x80\x90Guard\xe3\x80\x91 on foes in cardinal directions of unit and target through their next actions.  \xe3\x80\x90Guard\xe3\x80\x91  Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
153,Atk/Res Ruse 2,https://img.game8.co/3407540/31477a5319eb9eb4c9bbda3731f7d015.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Res-3 and \xe3\x80\x90Guard\xe3\x80\x91 on foes in cardinal directions of unit and target through their next actions.  \xe3\x80\x90Guard\xe3\x80\x91  Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
154,Atk/Res Ruse 3,https://img.game8.co/3407542/3a5257a578b8197a83115a0dbd521292.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Res-5 and \xe3\x80\x90Guard\xe3\x80\x91 on foes in cardinal directions of unit and target through their next actions.  \xe3\x80\x90Guard\xe3\x80\x91  Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
155,Spd/Def Snag 1,https://img.game8.co/3407597/120b6880afe8788118f63cd3462274cd.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Spd/Def-6 on nearest foes within 4 spaces of both unit and target through their next actions."
156,Spd/Def Snag 2,https://img.game8.co/3407596/b3814d4d6cfb72c720a07c65c5bf85f5.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Spd/Def-4 on nearest foes within 4 spaces of both unit and target through their next actions."
157,Spd/Def Snag 3,https://img.game8.co/3407595/bf1823884f2559761b96c513963d9a6f.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Spd/Def -6 on nearest foes within 4 spaces of both unit and target through their next actions."
158,Spd/Res Snag 1,https://img.game8.co/3407560/86f3def84a81b68fccf27554b8b95e0a.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Spd/Res-2 on nearest foes within 4 spaces of both unit and target through their next actions."
159,Spd/Res Snag 2,https://img.game8.co/3407535/3d7d1b6899f763bff8242372da4d869f.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Spd/Res-4 on nearest foes within 4 spaces of both unit and target through their next actions."
160,Spd/Res Snag 3,https://img.game8.co/3407538/4365b910447141503637e3224fa4269e.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts Spd/Res -6 on nearest foes within 4 spaces of both unit and target through their next actions."
161,Atk/Def Snag 3,https://img.game8.co/3407528/f52a39897efa28d2d8b937422ba4ef75.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot etc.) is used by unit or targets unit, inflicts Atk/Def-6 on nearest foes within 4 spaces of both unit and target through their next actions."
162,Atk/Def Snag 2,https://img.game8.co/3407527/24367aaf6db371cfc6549f0be4500369.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot etc.) is used by unit or targets unit, inflicts Atk/Def-4 on nearest foes within 4 spaces of both unit and target through their next actions."
163,Atk/Def Snag 1,https://img.game8.co/3407526/fe2cd50bd25f0ef22184ffb5fac33b38.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot etc.) is used by unit or targets unit, inflicts Atk/Def-2 on nearest foes within 4 spaces of both unit and target through their next actions."
164,Atk/Spd Snag 1,https://img.game8.co/3374657/0d7238c9e9e7c278a3d6d147de51e6c7.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot etc.) is used by unit or targets unit, inflicts Atk/Spd-2 on nearest foes within 4 spaces of both unit and target through their next actions."
165,Atk/Spd Snag 2,https://img.game8.co/3374656/d29c57ba67e7a324ac577c22faed29e3.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot etc.) is used by unit or targets unit, inflicts Atk/Spd-4 on nearest foes within 4 spaces of both unit and target through their next actions."
166,Atk/Spd Snag 3,https://img.game8.co/3374658/915f69e34e5f6c745b976ed3f3ca883e.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot etc.) is used by unit or targets unit, inflicts Atk/Spd-6 on nearest foes within 4 spaces of both unit and target through their next actions."
167,Def/Res Snag 1,https://img.game8.co/3435522/f57cae22a953199abc4a2e7c75e8e8df.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or target's unit, inflicts Def/Res-2 on nearest foes within 4 spaces of both unit and target through their next actions."
168,Def/Res Snag 2,https://img.game8.co/3435521/068d0e40d875d73564814a32753622c3.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or target's unit, inflicts Def/Res-4 on nearest foes within 4 spaces of both unit and target through their next actions."
169,Def/Res Snag 3,https://img.game8.co/3435523/e19829f1cdb7c4c95e7fb8b30c7cc0eb.png/show,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or target's unit, inflicts Def/Res-6 on nearest foes within 4 spaces of both unit and target through their next actions."
170,Atk Cantrip 1,https://img.game8.co/3407581/a6a2aedd87e64e8cdbce5a65c7a0b521.png/show,"If Sing or Dance is used, inflicts Atk-3 on nearest foes within 4 spaces of unit through their next actions."
171,Atk Cantrip 2,https://img.game8.co/3407580/99b20ab6466ba188d53d1be62ef0771d.png/show,"If Sing or Dance is used, inflicts Atk-5 on nearest foes within 4 spaces of unit through their next actions."
172,Atk Cantrip 3,https://img.game8.co/3407577/617cc031406195cb85ca7d1f3cbca3e5.png/show,"If Sing or Dance is used, inflicts Atk-7 on nearest foes within 4 spaces of unit through their next actions."
173,Def Cantrip 1,https://img.game8.co/3407561/76bafb433d93af872c17f53f130a70a3.png/show,"If Sing or Dance is used, inflicts Def-3 on nearest foes within 5 spaces of unit through their next actions."
174,Def Cantrip 2,https://img.game8.co/3407565/99a9bd75c8f0fa6810600b0fb54d7da2.png/show,"If Sing or Dance is used, inflicts Def-5 on nearest foes within 5 spaces of unit through their next actions."
175,Def Cantrip 3,https://img.game8.co/3407563/836f8beae730b22cfd455b4eda463e30.png/show,"If Sing or Dance is used, inflicts Def-7 on nearest foes within 5 spaces of unit through their next actions."
176,Res Cantrip 3,https://img.game8.co/3407567/974d09dab1cd469f7435ffc3706f292e.png/show,"If Sing or Dance is used, inflicts Res-7 on nearest foes within 4 spaces of unit through their next actions."
177,Res Cantrip 2,https://img.game8.co/3407568/6389dbea8077ab70fb54889aa12c8407.png/show,"If Sing or Dance is used, inflicts Res-5 on nearest foes within 4 spaces of unit through their next actions."
178,Res Cantrip 1,https://img.game8.co/3407572/63e3203afbe8d71e0dde2c64f66505e0.png/show,"If Sing or Dance is used, inflicts Res-3 on nearest foes within 4 spaces of unit through their next actions."
179,Spd Cantrip 1,https://img.game8.co/3459664/e4186a53afc7ce0283b3c6d89d0ede4b.png/show,"If Sing or Dance is used, inflicts Spd-3 on nearest foes within 4 spaces of unit through their next actions."
180,Spd Cantrip 2,https://img.game8.co/3459667/b2e1f2d65fcaac76b5e7dd2edb0eeccc.png/show,"If Sing or Dance is used, inflicts Spd-5 on nearest foes within 4 spaces of unit through their next actions."
181,Spd Cantrip 3,https://img.game8.co/3459665/686fb6a3c23397beab671229bca4a3c2.png/show,"If Sing or Dance is used, inflicts Spd-7 on nearest foes within 4 spaces of unit through their next actions."
182,,,
183,Swordbreaker 1,https://img.game8.co/3405574/a03bf6b8030ebbde9195d3899e0b0bdd.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 90% in combat against a sword user, unit makes a follow-up attack and the foe cannot."
184,Swordbreaker 2,https://img.game8.co/3405573/e2b0d2655950a7d73521f812636bb5e7.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 70% in combat against a sword user, unit makes a follow-up attack and the foe cannot."
185,Swordbreaker 3,https://img.game8.co/3405572/a04464f1190b2398106f7efb2db3e6b9.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50% in combat against a sword user, unit makes a follow-up attack and the foe cannot."
186,Lancebreaker 1,https://img.game8.co/3406151/1719d6164b6c6b156dffb577e92a5561.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 90% in combat against a lance user, unit makes a follow-up attack and the foe cannot."
187,Lancebreaker 2,https://img.game8.co/3406153/2975e1f855135a39f18e8932720331f6.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 70% in combat against a lance user, unit makes a follow-up attack and the foe cannot."
188,Lancebreaker 3,https://img.game8.co/3406152/da626ba2ff80da14f62e369893d3b8d3.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50% in combat against a lance user, unit makes a follow-up attack and the foe cannot."
189,Axebreaker 1,https://img.game8.co/3407819/60484dd1e975935f1b6310ea4d87b67b.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 90% in combat against an axe user, unit makes a follow-up attack and the foe cannot."
190,Axebreaker 2,https://img.game8.co/3407821/85b1adaf52e8b2cb864c407359909d90.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 70% in combat against an axe user, unit makes a follow-up attack and the foe cannot."
191,Axebreaker 3,https://img.game8.co/3407820/5484aa5facd893d3d3bc0a522d4fdc2b.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50% in combat against an axe user, unit makes a follow-up attack and the foe cannot."
192,Red Tomebreaker 1,https://img.game8.co/3405753/3a68afb5cec4ae60bf23bd924b1a221a.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 90% in combat against a red tome user, unit makes a follow-up attack and the foe cannot."
193,Red Tomebreaker 2,https://img.game8.co/3405752/d0729d8f4b519085af094586b75fd6ea.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 70% in combat against a red tome user, unit makes a follow-up attack and the foe cannot."
194,Red Tomebreaker 3,https://img.game8.co/3405751/e7f1a0334e5bb633fb74002035a142d8.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50% in combat against a red tome user, unit makes a follow-up attack and the foe cannot."
195,B Tomebreaker 1,https://img.game8.co/3407804/80ea20708f5f1de6f500f24c2595dbe2.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 90% in combat against a blue tome user, unit makes a follow-up attack and the foe cannot."
196,B Tomebreaker 2,https://img.game8.co/3407809/4dd9192e09c9460eaedd11b8000424f0.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 70% in combat against a blue tome user, unit makes a follow-up attack and the foe cannot."
197,B Tomebreaker 3,https://img.game8.co/3407810/7d0df9060d657bef21729f148faa2392.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50% in combat against a blue tome user, unit makes a follow-up attack and the foe cannot."
198,G Tomebreaker 1,https://img.game8.co/3406305/44dc777f0a59acbb048a0457db802a44.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 90% in combat against a green tome user, unit makes a follow-up attack and the foe cannot."
199,G Tomebreaker 2,https://img.game8.co/3406304/90fad7c4f410ed2bccd2fe211922fea9.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 70% in combat against a green tome user, unit makes a follow-up attack and the foe cannot."
200,G Tomebreaker 3,https://img.game8.co/3406303/13092af2c828d0bd4298c419e42d4e9d.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50% in combat against a green tome user, unit makes a follow-up attack and the foe cannot."
201,Bowbreaker 1,https://img.game8.co/3407787/075024962c4185994ffd10c1145695fd.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 90% in combat against a colorless bow user, unit makes a follow-up attack and the foe cannot."
202,Bowbreaker 2,https://img.game8.co/3407786/f671086008008b547d0a0ecd00ef51f1.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 70% in combat against a colorless bow user, unit makes a follow-up attack and the foe cannot."
203,Bowbreaker 3,https://img.game8.co/3407790/e81d2b43101145e7fb9b70ce8d708420.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50% in combat against a colorless bow user, unit makes a follow-up attack and the foe cannot."
204,Daggerbreaker 1,https://img.game8.co/3407704/68359fc2552ccd9434b4c7f043f9b252.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 90% in combat against a dagger user, unit makes a follow-up attack and the foe cannot."
205,Daggerbreaker 2,https://img.game8.co/3407706/7de3e2f09735272804dc661f0451de1c.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 70% in combat against a dagger user, unit makes a follow-up attack and the foe cannot."
206,Daggerbreaker 3,https://img.game8.co/3407705/0015a35c399c3515c454f40d0aec009c.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50% in combat against a dagger user, unit makes a follow-up attack and the foe cannot."
207,,,
208,Close Call 1,https://img.game8.co/3407978/e435ea03298249b6797e2890f171102f.png/show,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding R\xc3\xb8kkr area-of-effect Specials) by percentage = difference between stats \xc3\x97 2 (max 20%). If unit initiates combat, unit moves 1 space away after combat."
209,Close Call 2,https://img.game8.co/3407979/be705a4b9e2500e5aa3fcad4f0d27921.png/show,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding R\xc3\xb8kkr area-of-effect Specials) by percentage = difference between stats \xc3\x97 3 (max 30%). If unit initiates combat, unit moves 1 space away after combat."
210,Close Call 3,https://img.game8.co/3407980/656dfeb29f64ada4b9e4a12367750156.png/show,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding R\xc3\xb8kkr area-of-effect Specials) by percentage = difference between stats \xc3\x97 4 (max 40%). If unit initiates combat, unit moves 1 space away after combat."
211,Pass 1,https://img.game8.co/3405773/6191a626eacd61b08fb3bf2ed0909cdd.png/show,Unit can pass through foes if its own HP \xe2\x89\xa5 75%.
212,Pass 2,https://img.game8.co/3405771/752a7b0a44c4489e901f102c197623fb.png/show,Unit can pass through foes if its own HP \xe2\x89\xa5 50%.
213,Pass 3,https://img.game8.co/3405772/c00f505d04ba841f42cab34ee35ecc9b.png/show,Unit can pass through foes if its own HP \xe2\x89\xa5 25%.
214,Obstruct 1,https://img.game8.co/3406132/8f3ca5223b521e97b362f1dab68f487a.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 90%, foes cannot move through spaces adjacent to unit. (Does not affect foes with Pass skills.)"
215,Obstruct 2,https://img.game8.co/3406131/76c244acb4566e922b767095aee5f125.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 70%, foes cannot move through spaces adjacent to unit. (Does not affect foes with Pass skills.)"
216,Obstruct 3,https://img.game8.co/3406130/2223da114473deefe1c401461ed0b84a.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50%, foes cannot move through spaces adjacent to unit. (Does not affect foes with Pass skills.)"
217,Lunge,https://img.game8.co/3406140/d6c1bda356d8a179a4349c50ccee1704.png/show,"If unit initiates attack, after combat, unit and target foe swap places."
218,Knock Back,https://img.game8.co/3406157/f42eea961bcb99d122fce543c481c83c.png/show,"If unit initiates attack, foe is moved 1 space away after combat."
219,Drag Back,https://img.game8.co/3407630/c3df6c87f76b59fdc389accdb4c0cf5e.png/show,"If unit initiates attack, the unit moves 1 space away after combat. Foe moves into unit\xe2\x80\x99s previous space."
220,Hit and Run,https://img.game8.co/3406275/1d61e2ec2020f9e9fc2cf3803f511adc.png/show,"If unit initiates combat, unit moves 1 space away after combat."
221,Escape Route 1,https://img.game8.co/3407612/bf47cf15171b2b15a3a77cd155353c4f.png/show,Enables unit whose own HP \xe2\x89\xa4 30% to warp adjacent to any ally.
222,Escape Route 2,https://img.game8.co/3407613/efc6a5ad72a71b2081d70aa45c6d65fe.png/show,Enables unit whose own HP \xe2\x89\xa4 40% to warp adjacent to any ally.
223,Escape Route 3,https://img.game8.co/3407609/072ae4d9ef6f7fca6ba5cbb978c2e7c7.png/show,Enables unit whose own HP \xe2\x89\xa4 50% to warp adjacent to any ally.
224,Wings of Mercy 1,https://img.game8.co/3405498/f837d8d288ed48e5ba79abb07e0df34b.png/show,Enables unit to warp adjacent to any ally with HP \xe2\x89\xa4 30%.
225,Wings of Mercy 2,https://img.game8.co/3405497/1cc48ea9d2c490cee4b98b46553afdbe.png/show,Enables unit to warp adjacent to any ally with HP \xe2\x89\xa4 40%.
226,Wings of Mercy 3,https://img.game8.co/3405496/090653358ac8aab0f0a0f6df10deb37d.png/show,Enables unit to warp adjacent to any ally with HP \xe2\x89\xa4 50%.
227,Flier Formation 1,https://img.game8.co/3407456/544bf4e035ae1f732d2e7b1023eecd47.png/show,"If unit\xe2\x80\x99s HP = 100%, unit can move to a space adjacent to a flying ally within 2 spaces."
228,Flier Formation 2,https://img.game8.co/3407457/ada106358da60d977a719dbcae44488b.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50%, unit can move to a space adjacent to a flying ally within 2 spaces."
229,Flier Formation 3,https://img.game8.co/3407455/309061b5223f4093485dbaf06600276c.png/show,Unit can move to a space adjacent to a flying ally within 2 spaces.
230,Aerobatics 1,https://img.game8.co/3407890/598c3c22a5bc9818f10cfdf121d4c624.png/show,"If unit\xe2\x80\x99s HP \xc2\xa0= 100%, unit can move to a space adjacent to any infantry, armored or cavalry unit within 2 spaces."
231,Aerobatics 2,https://img.game8.co/3407892/c4888bfd888abf3db24b5a9c8506d8e8.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50%, unit can move to a space adjacent to any infantry, armored or cavalry unit within 2 spaces."
232,Aerobatics 3,https://img.game8.co/3407894/7c037ddd4d108ede3890bfa111387925.png/show,"Unit can move to a space adjacent to any infantry, armored, or cavalry unit within 2 spaces."
233,S/D Near Trace 1,https://img.game8.co/3374811/573d6da32f1ddf7db8e5888aaac84ff0.png/show,Enables\xe3\x80\x90Canto (Rem. +1)\xe3\x80\x91.Inflicts Spd/Def-1 on foe during combat. \xe3\x80\x90Canto (Rem. +1)\xe3\x80\x91
234,S/D Near Trace 2,https://img.game8.co/3374810/34383d58c8e5f129f8655603f20cc664.png/show,Enables\xe3\x80\x90Canto (Rem. +1)\xe3\x80\x91.Inflicts Spd/Def-2 on foe during combat. \xe3\x80\x90Canto (Rem. +1)\xe3\x80\x91
235,S/D Near Trace 3,https://img.game8.co/3374812/c5ad2ad09117e5036a006f585c39595c.png/show,Enables\xe3\x80\x90Canto (Rem. +1)\xe3\x80\x91.Inflicts Spd/Def-3 on foe during combat. \xe3\x80\x90Canto (Rem. +1)\xe3\x80\x91
236,S/R Far Trace 1,https://img.game8.co/3375483/db2b406f6a1cfa410ff37da7352a6c15.png/show,Enables \xe3\x80\x90Canto (Rem. +1)\xe3\x80\x91.  Inflicts Spd/Res-1 on foe during combat. \xe3\x80\x90Canto (Rem. +1)\xe3\x80\x91
237,S/R Far Trace 2,https://img.game8.co/3375484/de0a8d23b4e2b7d6887e0aba94d4dd77.png/show,Enables \xe3\x80\x90Canto (Rem. +1)\xe3\x80\x91.  Inflicts Spd/Res-2 on foe during combat. \xe3\x80\x90Canto (Rem. +1)\xe3\x80\x91
238,S/R Far Trace 3,https://img.game8.co/3375485/b57e6e3ac9d82a665be7eb141634a93e.png/show,Enables \xe3\x80\x90Canto (Rem. +1)\xe3\x80\x91.  Inflicts Spd/Res-3 on foe during combat. \xe3\x80\x90Canto (Rem. +1)\xe3\x80\x91
239,A/D Near Trace 1,https://img.game8.co/3374130/92600181249acfc8034cc7aa9ef9887d.png/show,"Enables \xe3\x80\x90Canto (Rem.+1)\xe3\x80\x91.  Inflicts Atk/Def-1 on foe during combat.  \xe3\x80\x90Canto (Rem.+1)\xe3\x80\x91 After combat, unit can move spaces equal to the number of spaces they have not used yet in their previous action according to their movement type plus 1 (+1 space). For example, a flying unit who has moved 1 space to attack an opponent, can move 2 spaces after as fliers have 2 spaces of movement. (1 space remaining + 1 space bonus)"
240,A/D Near Trace 2,https://img.game8.co/3374131/c57ebf8d37ad7b3494e5679727fa5ccf.png/show,"Enables \xe3\x80\x90Canto (Rem.+1)\xe3\x80\x91.  Inflicts Atk/Def-2 on foe during combat.  \xe3\x80\x90Canto (Rem.+1)\xe3\x80\x91 After combat, unit can move spaces equal to the number of spaces they have not used yet in their previous action according to their movement type plus 1 (+1 space). For example, a flying unit who has moved 1 space to attack an opponent, can move 2 spaces after as fliers have 2 spaces of movement. (1 space remaining + 1 space bonus)"
